# Iteration 0
Image 0:
0.085235 0.113459 -0.100695
0.097986 0.072680 0.129359
0.144511 -0.039002 -0.087546
-0.022470 -0.065230 -0.005556
-0.101348 0.006736 0.097241
0.123502 0.035981 0.105384

Image 12:
-0.078964 0.041078 -0.199832
-1.578979 -0.477163 -0.130956
-0.157570 -0.193635 0.061514
1.717786 -0.011154 -0.065016
-0.409093 -0.516774 -0.671770
-0.249812 -0.073160 -0.030293
-0.143365 -0.265262 0.055948
0.041378 -0.175398 0.088053
0.318642 -0.101504 -0.045925
0.115767 0.203001 -0.097205
0.014033 0.192473 -0.202616
-0.124458 0.085428 0.043472
-0.040699 -0.146286 -0.028445
0.088925 0.074587 -0.078213
0.032520 -0.026547 0.066536
-0.072284 0.065325 -0.009156
-0.077019 -0.130506 -0.006503
0.135996 0.140497 0.032890
-0.045550 -0.248632 -0.008734
0.634093 -0.217878 0.081967
-0.089911 -0.084928 0.057698
0.067953 -0.121635 0.055839
0.152721 -0.027889 -0.035001
0.112740 0.090712 -0.072604
-0.050823 0.067644 -0.040759
-0.065884 -0.090738 -0.054648
0.237048 0.320508 0.169540
-0.166485 1.127363 0.683549
0.087878 0.041186 0.278199
-0.050711 -0.016721 -0.059411
-0.325040 0.209026 -0.105797
0.064573 -0.159682 0.023707
-0.106229 0.092197 0.105775
-0.051860 0.014409 -0.115596
-0.006311 -0.108987 0.031549
-0.145694 0.116883 0.101375
-0.063680 0.022350 0.118750
0.036041 0.162927 -0.017295
0.056912 -0.015190 -0.069479
-0.040736 -0.029875 -0.092946
-0.116649 0.050340 0.026149
0.083145 0.116007 -0.106070
0.115122 0.073901 0.145249
0.153053 -0.042016 -0.084486
-0.024593 -0.066338 -0.004639
-0.107615 0.010412 0.096186
0.123687 0.029645 0.109450

Image 13:
-0.103919 0.044789 -0.244970
-1.574561 -0.474597 -0.129807
-0.192246 -0.227121 0.094810
1.740555 -0.006324 -0.080710
-0.391101 -0.214528 -0.463041
-0.205307 -0.136419 -0.064736
-0.152165 -0.276813 0.067388
0.053778 -0.192633 0.103685
0.311113 -0.097264 -0.042353
0.117964 0.214097 -0.110780
-0.004704 0.207657 -0.224275
-0.117001 0.080287 0.055950
-0.035822 -0.144092 -0.018456
0.091673 0.076192 -0.077399
0.040550 -0.025684 0.077938
-0.069058 0.074250 -0.011833
-0.075569 -0.127343 -0.018750
0.142820 0.152656 0.039106
-0.044339 -0.262158 -0.029885
0.632503 -0.785474 -0.292441
-0.085992 -0.095059 0.063622
0.069188 -0.127059 0.063813
0.154886 -0.029276 -0.034052
0.109230 0.096867 -0.077949
-0.055408 0.075813 -0.046047
-0.081995 -0.078330 -0.044727
0.342121 0.315399 0.141114
-0.223493 1.434773 0.887082
0.066185 -0.021683 0.343273
-0.037837 0.003541 -0.065401
-0.390486 0.224777 -0.164635
0.082803 -0.160003 0.035169
-0.114110 0.088830 0.102903
-0.049941 0.019239 -0.121237
-0.004629 -0.115073 0.036527
-0.166250 0.142870 0.109589
-0.074960 0.025186 0.132804
0.046634 0.191729 -0.024443
0.060760 -0.008299 -0.073407
-0.045156 -0.035945 -0.095800
-0.119888 0.050412 0.027178
0.080849 0.120196 -0.111952
0.130292 0.075697 0.161603
0.160305 -0.044397 -0.080603
-0.026842 -0.066817 -0.004259
-0.115732 0.014148 0.095914
0.124301 0.022986 0.114479

Image 14:
-0.131137 0.049795 -0.291050
-1.558921 -0.465421 -0.132723
-0.230787 -0.262600 0.133412
1.757013 -0.007177 -0.089342
-0.377571 0.103801 -0.243241
-0.148147 -0.203900 -0.103462
-0.163265 -0.288489 0.081231
0.073904 -0.216207 0.122889
0.296225 -0.088543 -0.039298
0.129058 0.223713 -0.127073
-0.031855 0.227093 -0.246474
-0.109414 0.074940 0.068040
-0.030615 -0.141814 -0.008309
0.094296 0.077711 -0.076732
0.050269 -0.025574 0.090180
-0.065625 0.083682 -0.014243
-0.073902 -0.123976 -0.033037
0.149700 0.164667 0.045829
-0.044671 -0.276299 -0.053827
0.632263 -1.334149 -0.661073
-0.080311 -0.106117 0.070905
0.069076 -0.133225 0.072835
0.157799 -0.031659 -0.032553
0.102964 0.104045 -0.083618
-0.060270 0.085202 -0.053554
-0.101366 -0.065179 -0.034850
0.454719 0.303823 0.109037
-0.286431 1.725557 1.079998
0.040556 -0.091636 0.407574
-0.025053 0.024328 -0.071938
